,nLabor,nLib,nThird,Winner
512,0,145,6,Coalition
513,0,145,6,Coalition
514,0,145,6,Coalition
515,0,145,6,Coalition
516,0,145,6,Coalition
517,0,145,6,Coalition
518,0,145,6,Coalition
519,0,145,6,Coalition
520,0,145,6,Coalition
521,0,145,6,Coalition
522,0,145,6,Coalition
523,0,145,6,Coalition
524,0,145,6,Coalition
525,0,145,6,Coalition
526,0,145,6,Coalition
527,0,145,6,Coalition
528,0,145,6,Coalition
529,0,145,6,Coalition
530,0,145,6,Coalition
531,0,145,6,Coalition
532,0,145,6,Coalition
533,0,145,6,Coalition
534,0,145,6,Coalition
535,0,145,6,Coalition
536,0,145,6,Coalition
537,0,145,6,Coalition
538,0,145,6,Coalition
539,0,145,6,Coalition
540,0,145,6,Coalition
541,0,145,6,Coalition
542,0,145,6,Coalition
543,0,145,6,Coalition
544,0,145,6,Coalition
545,0,145,6,Coalition
546,0,145,6,Coalition
547,0,145,6,Coalition
548,0,145,6,Coalition
549,0,145,6,Coalition
550,0,145,6,Coalition
551,0,145,6,Coalition
552,0,145,6,Coalition
553,0,145,6,Coalition
554,0,145,6,Coalition
555,0,145,6,Coalition
556,0,145,6,Coalition
557,0,145,6,Coalition
558,0,145,6,Coalition
559,0,145,6,Coalition
560,0,145,6,Coalition
561,0,145,6,Coalition
562,0,145,6,Coalition
563,0,145,6,Coalition
564,0,145,6,Coalition
565,0,145,6,Coalition
566,0,145,6,Coalition
567,0,145,6,Coalition
568,0,145,6,Coalition
569,0,145,6,Coalition
570,0,145,6,Coalition
571,0,145,6,Coalition
572,0,145,6,Coalition
573,0,145,6,Coalition
574,0,145,6,Coalition
575,0,145,6,Coalition
576,0,145,6,Coalition
577,0,145,6,Coalition
578,0,145,6,Coalition
579,0,145,6,Coalition
580,0,145,6,Coalition
581,0,145,6,Coalition
582,0,145,6,Coalition
583,0,145,6,Coalition
584,0,145,6,Coalition
585,0,145,6,Coalition
586,0,145,6,Coalition
587,0,145,6,Coalition
588,0,145,6,Coalition
589,0,145,6,Coalition
590,0,145,6,Coalition
591,0,145,6,Coalition
592,0,145,6,Coalition
593,0,145,6,Coalition
594,0,145,6,Coalition
595,0,145,6,Coalition
596,0,145,6,Coalition
597,0,145,6,Coalition
598,0,145,6,Coalition
599,0,145,6,Coalition
600,0,145,6,Coalition
601,0,145,6,Coalition
602,0,145,6,Coalition
603,0,145,6,Coalition
604,0,145,6,Coalition
605,0,145,6,Coalition
606,0,145,6,Coalition
607,0,145,6,Coalition
608,0,145,6,Coalition
609,0,145,6,Coalition
610,0,145,6,Coalition
611,0,145,6,Coalition
612,0,145,6,Coalition
613,0,145,6,Coalition
614,0,145,6,Coalition
615,0,145,6,Coalition
616,0,145,6,Coalition
617,0,145,6,Coalition
618,0,145,6,Coalition
619,0,145,6,Coalition
620,0,145,6,Coalition
621,0,145,6,Coalition
622,0,145,6,Coalition
623,0,145,6,Coalition
624,0,145,6,Coalition
625,0,145,6,Coalition
626,0,145,6,Coalition
627,0,145,6,Coalition
628,0,145,6,Coalition
629,0,145,6,Coalition
630,0,145,6,Coalition
631,0,145,6,Coalition
632,0,145,6,Coalition
633,0,145,6,Coalition
634,0,145,6,Coalition
635,0,145,6,Coalition
636,0,145,6,Coalition
637,0,145,6,Coalition
638,0,145,6,Coalition
639,0,145,6,Coalition
640,0,145,6,Coalition
641,0,145,6,Coalition
642,0,145,6,Coalition
643,0,145,6,Coalition
644,0,145,6,Coalition
645,0,145,6,Coalition
646,0,145,6,Coalition
647,0,145,6,Coalition
648,0,145,6,Coalition
649,0,145,6,Coalition
650,0,145,6,Coalition
651,0,145,6,Coalition
652,0,145,6,Coalition
653,0,145,6,Coalition
654,0,145,6,Coalition
655,0,145,6,Coalition
656,0,145,6,Coalition
657,0,145,6,Coalition
658,0,145,6,Coalition
659,0,145,6,Coalition
660,0,145,6,Coalition
661,0,145,6,Coalition
662,0,145,6,Coalition
663,0,145,6,Coalition
664,0,145,6,Coalition
665,0,145,6,Coalition
666,0,145,6,Coalition
667,0,145,6,Coalition
668,0,145,6,Coalition
669,0,145,6,Coalition
670,0,145,6,Coalition
671,0,145,6,Coalition
672,0,145,6,Coalition
673,0,145,6,Coalition
674,0,145,6,Coalition
675,0,145,6,Coalition
676,0,145,6,Coalition
677,0,145,6,Coalition
678,0,145,6,Coalition
679,0,145,6,Coalition
680,0,145,6,Coalition
681,0,145,6,Coalition
682,0,145,6,Coalition
683,0,145,6,Coalition
684,0,145,6,Coalition
685,0,145,6,Coalition
686,0,145,6,Coalition
687,0,145,6,Coalition
688,0,145,6,Coalition
689,0,145,6,Coalition
690,0,145,6,Coalition
691,0,145,6,Coalition
692,0,145,6,Coalition
693,0,145,6,Coalition
694,0,145,6,Coalition
695,0,145,6,Coalition
696,0,145,6,Coalition
697,0,145,6,Coalition
698,0,145,6,Coalition
699,0,145,6,Coalition
700,0,145,6,Coalition
701,0,145,6,Coalition
702,0,145,6,Coalition
703,0,145,6,Coalition
704,0,145,6,Coalition
705,0,145,6,Coalition
706,0,145,6,Coalition
707,0,145,6,Coalition
708,0,145,6,Coalition
709,0,145,6,Coalition
710,0,145,6,Coalition
711,0,145,6,Coalition
712,0,145,6,Coalition
713,0,145,6,Coalition
714,0,145,6,Coalition
715,0,145,6,Coalition
716,0,145,6,Coalition
717,0,145,6,Coalition
718,0,145,6,Coalition
719,0,145,6,Coalition
720,0,145,6,Coalition
721,0,145,6,Coalition
722,0,145,6,Coalition
723,0,145,6,Coalition
724,0,145,6,Coalition
725,0,145,6,Coalition
726,0,145,6,Coalition
727,0,145,6,Coalition
728,0,145,6,Coalition
729,0,145,6,Coalition
730,0,145,6,Coalition
731,0,145,6,Coalition
732,0,145,6,Coalition
733,0,145,6,Coalition
734,0,145,6,Coalition
735,0,145,6,Coalition
736,0,145,6,Coalition
737,0,145,6,Coalition
738,0,145,6,Coalition
739,0,145,6,Coalition
740,0,145,6,Coalition
741,0,145,6,Coalition
742,0,145,6,Coalition
743,0,145,6,Coalition
744,0,145,6,Coalition
745,0,145,6,Coalition
746,0,145,6,Coalition
747,0,145,6,Coalition
748,0,145,6,Coalition
749,0,145,6,Coalition
750,0,145,6,Coalition
751,0,145,6,Coalition
752,0,145,6,Coalition
753,0,145,6,Coalition
754,0,145,6,Coalition
755,0,145,6,Coalition
756,0,145,6,Coalition
757,0,145,6,Coalition
758,0,145,6,Coalition
759,0,145,6,Coalition
760,0,145,6,Coalition
761,0,145,6,Coalition
762,0,145,6,Coalition
763,0,145,6,Coalition
764,0,145,6,Coalition
765,0,145,6,Coalition
766,0,145,6,Coalition
767,0,145,6,Coalition
768,0,145,6,Coalition
769,0,145,6,Coalition
770,0,145,6,Coalition
771,0,145,6,Coalition
772,0,145,6,Coalition
773,0,145,6,Coalition
774,0,145,6,Coalition
775,0,145,6,Coalition
776,0,145,6,Coalition
777,0,145,6,Coalition
778,0,145,6,Coalition
779,0,145,6,Coalition
780,0,145,6,Coalition
781,0,145,6,Coalition
782,0,145,6,Coalition
783,0,145,6,Coalition
784,0,145,6,Coalition
785,0,145,6,Coalition
786,0,145,6,Coalition
787,0,145,6,Coalition
788,0,145,6,Coalition
789,0,145,6,Coalition
790,0,145,6,Coalition
791,0,145,6,Coalition
792,0,145,6,Coalition
793,0,145,6,Coalition
794,0,145,6,Coalition
795,0,145,6,Coalition
796,0,145,6,Coalition
797,0,145,6,Coalition
798,0,145,6,Coalition
799,0,145,6,Coalition
800,0,145,6,Coalition
801,0,145,6,Coalition
802,0,145,6,Coalition
803,0,145,6,Coalition
804,0,145,6,Coalition
805,0,145,6,Coalition
806,0,145,6,Coalition
807,0,145,6,Coalition
808,0,145,6,Coalition
809,0,145,6,Coalition
810,0,145,6,Coalition
811,0,145,6,Coalition
812,0,145,6,Coalition
813,0,145,6,Coalition
814,0,145,6,Coalition
815,0,145,6,Coalition
816,0,145,6,Coalition
817,0,145,6,Coalition
818,0,145,6,Coalition
819,0,145,6,Coalition
820,0,145,6,Coalition
821,0,145,6,Coalition
822,0,145,6,Coalition
823,0,145,6,Coalition
824,0,145,6,Coalition
825,0,145,6,Coalition
826,0,145,6,Coalition
827,0,145,6,Coalition
828,0,145,6,Coalition
829,0,145,6,Coalition
830,0,145,6,Coalition
831,0,145,6,Coalition
832,0,145,6,Coalition
833,0,145,6,Coalition
834,0,145,6,Coalition
835,0,145,6,Coalition
836,0,145,6,Coalition
837,0,145,6,Coalition
838,0,145,6,Coalition
839,0,145,6,Coalition
840,0,145,6,Coalition
841,0,145,6,Coalition
842,0,145,6,Coalition
843,0,145,6,Coalition
844,0,145,6,Coalition
845,0,145,6,Coalition
846,0,145,6,Coalition
847,0,145,6,Coalition
848,0,145,6,Coalition
849,0,145,6,Coalition
850,0,145,6,Coalition
851,0,145,6,Coalition
852,0,145,6,Coalition
853,0,145,6,Coalition
854,0,145,6,Coalition
855,0,145,6,Coalition
856,0,145,6,Coalition
857,0,145,6,Coalition
858,0,145,6,Coalition
859,0,145,6,Coalition
860,0,145,6,Coalition
861,0,145,6,Coalition
862,0,145,6,Coalition
863,0,145,6,Coalition
864,0,145,6,Coalition
865,0,145,6,Coalition
866,0,145,6,Coalition
867,0,145,6,Coalition
868,0,145,6,Coalition
869,0,145,6,Coalition
870,0,145,6,Coalition
871,0,145,6,Coalition
872,0,145,6,Coalition
873,0,145,6,Coalition
874,0,145,6,Coalition
875,0,145,6,Coalition
